Incidence and mortality trends by age
"10 registries, Both sexes, 6 cancers, All ages, by 30 year age groups"
"Indicator","Registry","Sex","Cancer","Age group",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
"Incidence","DE Berlin et al","Female","Melanoma of the skin","0-29","","","","","",1.4,2.0,1.9,2.3,3.0,2.3,2.7,3.3,2.7,4.3,4.7,4.0,4.6,3.0,5.0,3.0,
"Incidence","DE Berlin et al","Female","Lung","60+","","","","","",57.1,58.1,66.3,59.2,62.9,67.1,68.7,70.9,70.1,78.7,76.3,80.3,79.2,81.3,82.5,87.3,
"Incidence","DE Berlin et al","Female","Lung","30-59","","","","","",9.4,9.9,10.7,10.0,10.9,11.9,13.0,13.7,12.7,16.7,18.1,18.3,19.9,20.0,19.9,21.3,
"Incidence","DE Berlin et al","Female","Lung","0-29","","","","","",0.1,0.2,0.1,0.2,0.3,0.3,0.0,0.5,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.1,
"Incidence","DE Berlin et al","Female","Pancreas","60+","","","","","",46.1,51.5,49.0,51.3,50.4,50.2,50.3,52.1,54.0,59.7,58.6,57.3,61.7,61.7,63.6,62.1,
"Incidence","DE Berlin et al","Female","Pancreas","30-59","","","","","",6.3,4.9,5.6,4.5,5.2,4.9,4.9,5.3,5.9,5.7,6.1,7.0,6.0,6.8,7.4,6.6,
"Incidence","DE Berlin et al","Female","Pancreas","0-29","","","","","",0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,
"Incidence","DE Berlin et al","Female","Stomach","60+","","","","","",78.5,71.2,67.8,65.1,65.6,65.5,59.4,57.5,58.6,50.7,51.3,52.1,54.5,46.9,51.7,46.5,
"Incidence","DE Berlin et al","Female","Stomach","30-59","","","","","",8.0,8.3,8.2,7.6,7.4,7.3,8.1,7.4,7.8,8.0,8.8,8.3,7.7,8.3,6.4,5.9,
"Incidence","DE Berlin et al","Female","Stomach","0-29","","","","","",0.2,0.1,0.1,0.1,0.6,0.1,0.1,0.3,0.1,0.1,0.3,0.0,0.2,0.4,0.0,0.2,
"Incidence","DE Bremen","Male","Leukaemia","60+","","","","","","","",57.6,45.9,53.4,71.8,54.4,40.5,58.9,64.9,69.5,60.9,66.6,49.4,52.6,30.9,
"Incidence","DE Bremen","Male","Leukaemia","30-59","","","","","","","",5.4,8.9,6.9,10.4,7.0,7.7,7.0,7.1,10.6,10.0,12.2,5.0,3.6,6.5,
"Incidence","DE Bremen","Male","Leukaemia","0-29","","","","","","","",1.9,4.8,5.8,1.0,1.9,1.9,4.8,3.8,9.6,3.8,2.9,2.9,0.0,1.9,
"Incidence","DE Bremen","Male","Thyroid gland","60+","","","","","","","",3.0,8.6,8.4,5.5,2.7,5.4,1.3,2.6,5.3,9.1,7.7,7.6,2.5,3.9,
"Incidence","DE Bremen","Male","Thyroid gland","30-59","","","","","","","",2.7,2.1,2.8,2.1,6.3,0.7,4.9,3.5,4.3,2.9,1.4,5.8,2.1,4.4,
"Incidence","DE Bremen","Male","Thyroid gland","0-29","","","","","","","",0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.9,0.0,1.0,3.8,0.0,1.0,1.9,
"Incidence","DE Bremen","Male","Melanoma of the skin","60+","","","","","","","",39.9,33.0,38.0,48.3,53.0,70.2,48.2,59.6,94.4,49.2,61.4,50.6,60.1,49.0,
"Incidence","DE Bremen","Male","Melanoma of the skin","30-59","","","","","","","",8.2,11.0,13.1,13.9,14.0,14.7,10.5,13.4,20.6,14.3,17.2,18.7,10.7,9.5,
"Incidence","DE Bremen","Male","Melanoma of the skin","0-29","","","","","","","",0.0,0.0,2.9,0.0,0.0,0.0,0.9,0.0,5.7,1.9,2.9,1.0,1.9,2.9,
"Incidence","DE Bremen","Male","Lung","60+","","","","","","","",421.2,391.2,382.5,432.2,447.6,426.5,427.0,396.3,365.9,377.0,404.4,384.9,370.8,376.4,
"Incidence","DE Bremen","Male","Lung","30-59","","","","","","","",51.7,64.5,66.4,54.9,52.4,61.0,49.1,50.8,54.6,50.0,38.7,36.6,48.7,46.6,
"Incidence","DE Bremen","Male","Lung","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Incidence","DE Bremen","Male","Pancreas","60+","","","","","","","",65.0,68.8,85.8,67.7,68.0,67.5,79.0,67.6,78.7,82.9,76.8,76.0,61.4,67.0,
"Incidence","DE Bremen","Male","Pancreas","30-59","","","","","","","",4.1,6.9,11.1,11.1,8.4,8.4,7.7,12.0,10.6,7.1,7.2,12.2,2.1,9.5,
"Incidence","DE Bremen","Male","Pancreas","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Incidence","DE Bremen","Male","Stomach","60+","","","","","","","",118.2,124.7,90.0,69.0,68.0,93.1,85.7,74.2,74.8,79.0,69.1,100.0,58.9,67.0,
"Incidence","DE Bremen","Male","Stomach","30-59","","","","","","","",14.3,11.7,9.0,11.1,9.8,11.2,7.7,8.5,9.9,5.7,12.9,7.9,5.0,11.7,
"Incidence","DE Bremen","Male","Stomach","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Incidence","DE Bremen","Female","Leukaemia","60+","","","","","","","",27.9,28.6,52.2,49.1,35.3,40.3,33.6,52.3,31.6,31.5,40.2,45.0,35.1,15.8,
"Incidence","DE Bremen","Female","Leukaemia","30-59","","","","","","","",2.8,5.7,4.3,2.2,5.1,8.0,10.1,8.7,5.1,4.4,3.7,6.7,3.7,0.8,
"Incidence","DE Bremen","Female","Leukaemia","0-29","","","","","","","",3.0,3.0,3.0,3.0,1.0,3.9,1.0,1.0,6.9,1.0,2.0,1.0,0.0,0.0,
"Incidence","DE Bremen","Female","Thyroid gland","60+","","","","","","","",5.0,9.9,9.8,9.8,8.8,6.9,7.9,13.8,6.9,13.8,6.9,3.9,5.8,7.9,
"Incidence","DE Bremen","Female","Thyroid gland","30-59","","","","","","","",2.8,2.9,6.5,9.3,6.5,13.8,4.3,12.4,10.2,9.6,10.3,15.5,10.3,16.4,
"Incidence","DE Bremen","Female","Thyroid gland","0-29","","","","","","","",3.0,2.0,1.0,2.0,0.0,2.9,3.9,1.0,2.9,0.0,2.0,2.0,2.0,2.0,
"Incidence","DE Bremen","Female","Melanoma of the skin","60+","","","","","","","",23.9,29.6,30.5,33.4,23.5,31.5,33.6,38.5,59.2,34.5,50.0,32.3,20.5,35.5,
"Incidence","DE Bremen","Female","Melanoma of the skin","30-59","","","","","","","",22.0,12.8,12.9,12.9,10.8,16.6,11.6,18.2,23.4,19.8,25.8,16.3,8.9,18.7,
"Incidence","DE Bremen","Female","Melanoma of the skin","0-29","","","","","","","",3.0,4.0,2.0,4.0,0.0,1.0,1.0,2.9,8.8,3.9,6.9,4.0,3.0,2.0,
"Incidence","DE Bremen","Female","Lung","60+","","","","","","","",111.6,111.6,116.2,115.8,165.7,143.6,118.5,150.1,154.9,146.7,153.0,147.6,147.1,150.9,
"Incidence","DE Bremen","Female","Lung","30-59","","","","","","","",31.9,32.1,27.3,43.9,30.4,28.9,45.6,39.3,32.1,36.0,32.5,37.0,33.3,42.6,
"Incidence","DE Bremen","Female","Lung","0-29","","","","","","","",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
"Incidence","DE Bremen","Female","Pancreas","60+","","","","","","","",45.8,58.3,49.2,54.0,51.0,60.0,63.2,71.1,66.1,76.8,72.6,68.4,66.2,52.3,
"Incidence","DE Bremen","Female","Pancreas","30-59","","","","","","","",8.5,3.6,5.0,3.6,5.1,7.2,6.5,6.5,3.6,11.0,4.4,4.4,8.1,4.5,
"Incidence","DE Bremen","Female","Pancreas","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Incidence","DE Bremen","Female","Stomach","60+","","","","","","","",54.8,67.2,70.9,47.1,60.8,55.1,39.5,42.5,50.3,43.3,55.9,45.0,40.9,39.5,
"Incidence","DE Bremen","Female","Stomach","30-59","","","","","","","",9.9,10.0,7.2,2.9,5.8,6.5,9.4,10.9,8.8,4.4,5.9,4.4,10.3,5.2,
"Incidence","DE Bremen","Female","Stomach","0-29","","","","","","","",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
"Incidence","DE Hamburg","Male","Leukaemia","60+","","",51.7,54.7,57.9,59.2,38.5,41.5,43.8,57.1,56.6,56.4,51.8,57.4,54.2,54.1,60.3,57.0,86.3,78.7,"",
"Incidence","DE Hamburg","Male","Leukaemia","30-59","","",10.9,10.4,8.6,8.7,7.7,6.9,8.5,8.3,6.8,10.0,8.1,8.5,6.4,9.4,11.4,9.6,11.2,11.3,"",
"Incidence","DE Hamburg","Male","Leukaemia","0-29","","",2.4,4.3,3.6,4.5,3.4,2.6,4.1,3.4,2.2,5.2,7.7,3.6,3.9,2.5,3.2,3.6,2.9,3.5,"",
"Incidence","DE Hamburg","Male","Thyroid gland","60+","","",7.0,3.4,4.0,3.9,5.7,3.0,2.4,1.8,5.2,4.0,4.5,3.9,4.4,5.0,8.2,10.8,4.9,4.3,"",
"Incidence","DE Hamburg","Male","Thyroid gland","30-59","","",3.0,1.8,2.8,3.8,2.3,2.0,2.3,1.8,1.3,1.8,1.6,2.3,2.0,3.7,3.2,5.2,4.1,3.0,"",
"Incidence","DE Hamburg","Male","Thyroid gland","0-29","","",0.3,0.4,0.7,0.4,0.0,1.9,0.0,1.1,0.4,0.0,1.5,0.0,0.0,0.7,0.4,0.4,0.0,0.0,"",
"Incidence","DE Hamburg","Male","Melanoma of the skin","60+","","",23.1,28.7,35.3,36.5,40.4,45.1,46.8,61.8,59.5,57.5,65.9,47.8,59.2,65.1,70.1,73.7,65.2,55.5,"",
"Incidence","DE Hamburg","Male","Melanoma of the skin","30-59","","",9.7,10.2,12.7,11.5,10.0,16.7,14.9,15.0,14.4,11.1,13.3,11.5,9.9,12.4,13.9,13.0,11.0,10.8,"",
"Incidence","DE Hamburg","Male","Melanoma of the skin","0-29","","",1.4,1.4,2.9,3.7,2.3,3.7,1.5,2.2,1.9,1.1,3.7,2.2,2.5,1.1,2.9,1.8,2.5,0.7,"",
"Incidence","DE Hamburg","Male","Lung","60+","","",379.3,392.3,374.4,346.3,359.4,384.1,312.8,344.9,337.4,370.1,400.4,377.1,354.2,361.4,340.6,336.2,352.9,326.3,"",
"Incidence","DE Hamburg","Male","Lung","30-59","","",53.4,59.1,51.7,56.9,56.5,52.1,43.6,44.1,46.8,40.8,44.4,43.2,36.3,40.1,39.9,38.0,36.8,34.0,"",
"Incidence","DE Hamburg","Male","Lung","0-29","","",0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.4,0.7,0.0,0.4,0.4,0.0,"",
"Incidence","DE Hamburg","Male","Pancreas","60+","","",64.3,64.9,65.2,59.2,59.3,67.1,58.0,71.1,66.3,68.3,68.7,80.5,71.4,67.9,76.6,90.9,85.2,82.0,"",
"Incidence","DE Hamburg","Male","Pancreas","30-59","","",6.6,8.6,6.3,6.4,10.2,7.7,7.5,7.8,7.3,6.8,6.3,5.8,7.4,8.9,8.2,8.1,7.7,4.3,"",
"Incidence","DE Hamburg","Male","Pancreas","0-29","","",0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,"",
"Incidence","DE Hamburg","Male","Stomach","60+","","",125.0,93.0,97.1,91.8,97.7,80.5,69.9,76.3,68.0,87.5,82.2,81.6,76.4,79.5,75.5,71.0,76.0,68.5,"",
"Incidence","DE Hamburg","Male","Stomach","30-59","","",11.4,14.0,12.4,12.5,10.2,11.0,8.0,11.9,8.1,6.8,8.9,8.5,9.1,9.4,8.2,7.1,7.2,7.6,"",
"Incidence","DE Hamburg","Male","Stomach","0-29","","",0.0,0.0,0.7,0.8,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,"",
"Incidence","DE Hamburg","Female","Leukaemia","60+","","",38.2,36.1,33.9,37.2,29.9,34.0,28.1,28.9,33.4,39.2,39.5,39.8,41.7,36.5,41.3,41.9,46.9,41.5,"",
"Incidence","DE Hamburg","Female","Leukaemia","30-59","","",9.0,7.4,6.3,8.0,6.9,7.5,5.9,6.4,8.1,7.8,6.7,7.9,5.5,11.2,4.7,6.7,10.4,5.2,"",
"Incidence","DE Hamburg","Female","Leukaemia","0-29","","",2.9,2.6,4.1,2.7,0.8,1.5,2.3,4.1,1.1,3.3,5.5,4.0,3.9,5.0,6.4,3.9,2.8,1.8,"",
"Incidence","DE Hamburg","Female","Thyroid gland","60+","","",9.7,8.4,5.9,7.5,6.2,6.2,5.3,6.9,4.9,8.2,11.9,7.5,6.6,6.3,14.4,16.0,10.8,9.5,"",
"Incidence","DE Hamburg","Female","Thyroid gland","30-59","","",4.3,4.0,4.0,5.0,5.0,4.3,5.1,4.3,4.6,4.6,8.3,4.2,5.8,12.3,12.3,14.2,12.8,10.6,"",
"Incidence","DE Hamburg","Female","Thyroid gland","0-29","","",1.1,1.1,2.3,0.8,0.4,0.4,2.3,1.5,0.0,1.5,2.2,1.8,0.0,1.4,3.9,2.8,4.3,2.8,"",
"Incidence","DE Hamburg","Female","Melanoma of the skin","60+","","",12.6,18.0,28.0,26.8,26.5,27.5,35.0,35.1,41.6,41.2,43.2,37.3,40.1,45.3,44.6,52.2,44.0,32.3,"",
"Incidence","DE Hamburg","Female","Melanoma of the skin","30-59","","",10.6,13.0,15.3,18.8,15.9,18.4,23.5,21.7,19.1,17.3,19.9,15.6,13.9,17.5,18.0,16.5,15.4,11.9,"",
"Incidence","DE Hamburg","Female","Melanoma of the skin","0-29","","",3.6,2.2,5.3,5.3,4.6,3.8,4.1,6.4,3.0,5.5,8.8,3.3,6.1,2.8,5.0,4.3,1.4,2.5,"",
"Incidence","DE Hamburg","Female","Lung","60+","","",111.2,99.0,109.2,106.6,118.6,112.7,116.2,125.6,116.2,142.9,139.4,139.2,170.3,157.2,156.5,157.9,156.0,149.3,"",
"Incidence","DE Hamburg","Female","Lung","30-59","","",21.0,26.2,25.1,23.6,28.4,26.4,27.0,28.9,26.3,26.7,33.9,34.8,33.0,29.5,29.4,29.7,25.8,28.4,"",
"Incidence","DE Hamburg","Female","Lung","0-29","","",0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.3,0.0,0.0,"",
"Incidence","DE Hamburg","Female","Pancreas","60+","","",56.2,59.1,56.0,58.5,53.1,54.9,51.8,64.4,51.0,66.1,59.2,75.9,75.2,67.1,66.9,72.0,62.3,66.8,"",
"Incidence","DE Hamburg","Female","Pancreas","30-59","","",4.0,5.0,6.6,4.0,4.0,6.4,3.5,4.0,5.4,3.8,3.5,3.4,3.9,3.7,7.3,5.4,5.5,5.9,"",
"Incidence","DE Hamburg","Female","Pancreas","0-29","","",0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7,0.0,"",
"Incidence","DE Hamburg","Female","Stomach","60+","","",50.8,79.7,57.7,49.8,58.0,51.2,43.6,48.9,54.2,42.9,43.2,43.6,47.9,43.6,50.8,45.2,45.6,51.0,"",
"Incidence","DE Hamburg","Female","Stomach","30-59","","",6.4,8.7,6.3,7.4,4.5,4.8,8.6,4.5,7.0,6.8,4.3,5.0,6.5,5.8,8.1,5.4,5.5,3.9,"",
"Incidence","DE Hamburg","Female","Stomach","0-29","","",0.4,1.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,"",
"Incidence","DE North Rhine-Westphalia","Male","Leukaemia","60+","","",55.8,47.8,55.8,57.1,53.9,50.9,35.3,45.0,46.4,48.5,52.3,48.9,42.5,50.6,48.6,45.2,53.2,48.7,45.7,
"Incidence","DE North Rhine-Westphalia","Male","Leukaemia","30-59","","",7.0,9.4,7.0,7.7,7.1,5.5,6.9,6.2,4.8,6.6,7.4,7.7,8.0,7.2,7.6,6.9,8.0,7.0,6.4,
